User Device Type,Duration(sec),Paket Loss Rate(Reliability),Packet Delay Budget( Latency(ms)),Bandwidth(GHz),Delay Rate(Mbps),Speed(Mbps),Jitter(ps),Modulation Type,Slice Type
SmartPhone,600,0.01,50,30,17500,1082,4.30E+07,FBMC,embb
SmartPhone,100,0.01,7,38,1700,2647,4.50E+07,FBMC,embb
SmartPhone,240,1.00E-05,46,38,900,2821,6.50E+07,FBMC,embb
SmartPhone,120,0.0001,12,50,900,864,7.70E+07,FBMC,embb
SmartPhone,60,1.00E-06,49,60,1700,1945,3.30E+07,FBMC,embb
SmartPhone,240,0.01,24,38,1000,2856,1.90E+07,FBMC,embb
SmartPhone,180,0.01,23,60,10000,403,1.90E+07,FBMC,embb
SmartPhone,60,0.01,18,50,10500,2800,6.50E+07,FBMC,embb
SmartPhone,60,1.00E-05,21,40,10000,264,4.50E+07,FBMC,embb
SmartPhone,100,0.01,8,45,300,1723,1.80E+07,FBMC,embb
SmartPhone,300,0.0001,5,38,10500,580,4.50E+07,FBMC,embb
SmartPhone,60,0.01,9,45,300,378,6.50E+07,FBMC,embb
SmartPhone,60,1.00E-05,2,40,300,335,3.70E+07,FBMC,embb
SmartPhone,60,0.01,30,38,900,1637,1.90E+07,FBMC,embb
SmartPhone,100,0.0001,36,38,17500,836,7.50E+06,FBMC,embb
SmartPhone,300,0.01,13,38,900,2018,7.70E+07,FBMC,embb
SmartPhone,300,0.01,1,50,10500,2838,3.70E+07,FBMC,embb
SmartPhone,300,0.01,28,50,10000,1319,4.30E+07,FBMC,URLLC
SmartPhone,60,1.00E-05,22,60,1700,1686,7.70E+07,FBMC,URLLC
SmartPhone,100,0.01,45,45,900,2226,2.00E+07,FBMC,URLLC
SmartPhone,600,0.0001,50,40,10500,1358,1.80E+07,FBMC,URLLC
SmartPhone,600,0.0001,35,38,1000,1002,1.90E+07,FBMC,URLLC
SmartPhone,180,0.01,25,29,300,854,4.50E+07,FBMC,URLLC
SmartPhone,300,0.01,10,40,10500,2691,1.80E+07,FBMC,URLLC
SmartPhone,120,0.01,47,50,1700,747,1.90E+07,FBMC,URLLC
SmartPhone,180,1.00E-05,17,50,1700,2000,1.80E+07,FBMC,URLLC
SmartPhone,100,0.01,15,40,1000,1835,4.50E+07,FBMC,URLLC
SmartPhone,180,0.001,27,38,1700,1376,5.00E+07,FBMC,URLLC
SmartPhone,600,1.00E-06,31,38,10000,1849,2.00E+07,FBMC,URLLC
SmartPhone,600,0.01,20,29,10000,1299,4.50E+07,FBMC,URLLC
SmartPhone,300,0.01,44,29,1700,1352,4.50E+07,FBMC,URLLC
SmartPhone,60,1.00E-06,48,40,17500,1267,4.50E+07,FBMC,URLLC
SmartPhone,100,1.00E-05,39,38,10500,269,1.90E+07,FBMC,URLLC
SmartPhone,180,1.00E-06,6,60,10500,2364,4.50E+07,FBMC,URLLC
SmartPhone,600,0.01,3,29,17500,673,1.80E+07,FBMC,URLLC
SmartPhone,300,0.01,29,38,17500,1693,1.80E+07,FBMC,URLLC
SmartPhone,60,0.0001,38,30,17500,1567,7.70E+07,FBMC,URLLC
SmartPhone,100,0.01,32,40,1700,834,1.00E+07,FBMC,URLLC
SmartPhone,300,0.01,16,50,1000,645,7.50E+07,FBMC,URLLC
SmartPhone,300,0.01,40,29,300,768,1.80E+07,FBMC,URLLC
SmartPhone,300,1.00E-05,37,45,1000,2759,5.00E+07,FBMC,URLLC
SmartPhone,240,1.00E-05,41,29,10000,2076,1.80E+07,FBMC,URLLC
SmartPhone,120,1.00E-06,33,50,10500,198,2.00E+07,FBMC,URLLC
SmartPhone,60,0.01,34,29,1700,339,4.50E+07,FBMC,URLLC
SmartPhone,300,0.01,43,38,300,171,6.50E+07,FBMC,URLLC
SmartPhone,60,0.01,19,40,10500,2046,1.00E+07,FBMC,URLLC
SmartPhone,240,1.00E-05,4,45,1000,1251,1.80E+07,FBMC,URLLC
SmartPhone,60,0.01,26,38,300,2642,7.50E+07,FBMC,URLLC
SmartPhone,100,0.01,14,29,1000,482,1.90E+07,FBMC,URLLC
SmartPhone,240,0.01,42,50,10000,2156,1.90E+07,FBMC,URLLC
SmartPhone,100,1.00E-05,11,50,1700,1819,3.70E+07,FBMC,URLLC
SmartPhone,300,0.01,20,38,1700,1101,1.80E+07,FBMC,URLLC
SmartPhone,600,0.01,10,60,1000,2889,4.50E+07,FBMC,URLLC
SmartPhone,600,1.00E-05,20,30,300,723,1.00E+07,FBMC,URLLC
SmartPhone,240,0.0001,10,38,17500,149,6.50E+07,FBMC,URLLC
SmartPhone,100,0.01,20,38,10500,478,1.90E+07,FBMC,URLLC
SmartPhone,120,1.00E-06,50,50,1000,230,6.50E+07,FBMC,URLLC
SmartPhone,240,0.01,28,50,300,1176,7.50E+07,FBMC,URLLC
SmartPhone,60,0.01,20,30,900,1701,3.70E+07,FBMC,URLLC
SmartPhone,180,1.00E-05,10,38,300,606,2.00E+07,FBMC,URLLC
SmartPhone,300,0.001,40,38,1000,1963,1.80E+07,FBMC,URLLC
SmartPhone,240,0.01,28,38,900,570,7.50E+06,FBMC,URLLC
SmartPhone,600,0.001,25,40,1000,531,7.50E+06,FBMC,URLLC
SmartPhone,60,1.00E-06,40,38,1700,2586,7.50E+07,FBMC,URLLC
SmartPhone,300,1.00E-06,20,50,900,1850,1.00E+07,FBMC,URLLC
SmartPhone,180,0.01,18,30,1700,224,5.00E+07,FBMC,URLLC
SmartPhone,60,0.01,40,29,300,1875,1.80E+07,FBMC,URLLC
SmartPhone,300,1.00E-06,10,40,10000,1903,1.00E+07,FBMC,URLLC
SmartPhone,180,0.01,50,29,300,276,4.30E+07,FBMC,URLLC
SmartPhone,240,0.01,28,30,900,577,1.80E+07,FBMC,URLLC
SmartPhone,600,0.01,50,38,900,343,1.90E+07,FBMC,URLLC
SmartPhone,120,1.00E-06,25,29,1700,2396,4.30E+07,FBMC,URLLC
SmartPhone,100,0.01,40,50,900,1050,4.50E+07,FBMC,URLLC
SmartPhone,240,0.01,50,40,10500,1434,4.50E+07,FBMC,URLLC
SmartPhone,600,0.01,40,45,10000,2738,1.00E+07,FBMC,URLLC
SmartPhone,240,1.00E-06,40,50,17500,1221,4.50E+07,FBMC,URLLC
SmartPhone,600,1.00E-05,50,50,1000,1257,4.50E+07,FBMC,URLLC
SmartPhone,600,0.01,40,45,10500,822,2.00E+07,FBMC,URLLC
SmartPhone,60,1.00E-06,20,38,300,507,2.00E+07,FBMC,URLLC
SmartPhone,120,0.01,28,45,1700,1040,6.50E+07,FBMC,URLLC
SmartPhone,300,0.01,25,40,1000,156,5.00E+07,FBMC,URLLC
SmartPhone,600,0.01,15,60,1700,416,7.50E+07,FBMC,URLLC
SmartPhone,600,0.01,50,50,10500,861,3.70E+07,FBMC,URLLC
SmartPhone,600,0.0001,28,30,1700,2678,3.30E+07,FBMC,URLLC
SmartPhone,100,0.01,20,50,1700,780,4.50E+07,FBMC,URLLC
SmartPhone,100,0.001,50,50,10000,2000,3.30E+07,FBMC,URLLC
SmartPhone,120,1.00E-05,10,50,300,2656,4.50E+07,FBMC,URLLC
SmartPhone,300,1.00E-05,40,45,300,1599,2.00E+07,FBMC,URLLC
SmartPhone,300,1.00E-05,10,29,300,2673,7.50E+07,FBMC,URLLC
SmartPhone,300,0.01,20,38,10500,2905,1.00E+07,FBMC,mMTC
SmartPhone,600,0.0001,25,50,1700,516,1.00E+07,FBMC,mMTC
SmartPhone,100,0.001,28,60,300,1312,4.50E+07,FBMC,mMTC
SmartPhone,600,0.0001,40,38,900,1472,1.90E+07,FBMC,mMTC
SmartPhone,100,0.01,50,50,10500,2609,2.00E+07,FBMC,mMTC
SmartPhone,60,1.00E-06,40,38,900,1070,1.00E+07,FBMC,mMTC
SmartPhone,120,1.00E-05,20,38,900,646,7.50E+07,FBMC,mMTC
SmartPhone,240,1.00E-06,25,45,1700,448,4.50E+07,FBMC,mMTC
SmartPhone,180,0.01,50,60,900,238,3.30E+07,FBMC,mMTC
SmartPhone,600,1.00E-06,25,40,10500,1562,7.70E+07,FBMC,mMTC
SmartPhone,100,0.0001,25,30,900,187,1.80E+07,FBMC,mMTC
SmartPhone,300,0.0001,10,40,900,752,2.00E+07,FBMC,mMTC
SmartPhone,600,0.001,40,38,1000,2085,1.90E+07,FBMC,mMTC
SmartPhone,300,0.01,25,40,1700,2326,2.00E+07,FBMC,mMTC
SmartPhone,100,1.00E-06,50,60,10000,2462,1.00E+07,FBMC,mMTC
SmartPhone,100,0.01,15,50,300,1309,1.00E+07,FBMC,mMTC
SmartPhone,300,1.00E-05,15,40,900,689,6.50E+07,FBMC,mMTC
SmartPhone,300,1.00E-06,20,45,300,309,1.00E+07,FBMC,mMTC
SmartPhone,600,0.01,25,38,300,227,4.50E+07,FBMC,mMTC
SmartPhone,60,0.01,25,50,1000,2254,1.90E+07,FBMC,mMTC
SmartPhone,240,0.0001,40,60,10500,1742,4.50E+07,FBMC,mMTC
SmartPhone,60,0.0001,28,40,900,2108,7.50E+06,FBMC,mMTC
SmartPhone,120,0.01,10,30,10000,2530,7.70E+07,FBMC,mMTC
SmartPhone,120,0.01,40,50,300,2073,1.90E+07,FBMC,mMTC
